longitude,latitude,Easting,Northing,Zone Number,Zone Letter
87.29018531,26.52510039,528910.8190155677,2933870.204289938,45,R
87.29649278,26.52761564,529538.5843353805,2934150.211822712,45,R
87.29757594,26.52164959,529648.0291067039,2933489.705700189,45,R
87.30466848,26.52226226,530354.5145601454,2933559.218917515,45,R
87.30376448,26.516786,530265.8831159504,2932952.4951584586,45,R
87.30746751,26.51663209,530634.8812505818,2932936.327874665,45,R
87.30898766,26.52379462,530784.433845995,2933729.961017554,45,R
87.30616329,26.52603932,530502.4470237731,2933977.8930878304,45,R
87.30820625,26.53191645,530704.4203925417,2934629.2890879973,45,R
87.30350784,26.53183359,530236.3699033698,2934618.995952364,45,R
